SourceSchema;SourceTableName;Source
MVXJDTA;CCURRA;m3
MVXJDTA;MITMAS;m3
MVXJDTA;MHDISL;m3
MVXJDTA;SSHEAD;m3
MVXJDTA;MITFAC;m3
MVXJDTA;MITWHL;m3
MVXJDTA;CFACIL;m3
MVXJDTA;OLICHA;m3
MVXJDTA;OCUSMA;m3
MVXJDTA;CMNUSR;m3
MVXJDTA;CMUFTR;m3
MVXJDTA;SDLINE;m3
MVXJDTA;CAREPL;m3
MVXJDTA;FCHACC;m3
CUSJDTA;MZLINE;m3
MVXJDTA;CINACC;m3
MVXJDTA;FGLHED;m3
MVXJDTA;MPLINE;m3
MVXJDTA;CMNDIV;m3
MVXJDTA;OINVOH;m3
MVXJDTA;MITBAL;m3
MVXJDTA;MGHEAD;m3
MVXJDTA;OINVOL;m3
MVXJDTA;MITHRY;m3
MVXJDTA;OINACC;m3
MVXJDTA;MITTRA;m3
MVXJDTA;SSLINE;m3
MVXJDTA;OOHEAD;m3
MVXJDTA;SINACC;m3
MVXJDTA;OOLINE;m3
MVXJDTA;SSTYPE;m3
MVXJDTA;CRACTR;m3
MVXJDTA;MHDISH;m3
MVXJDTA;FGLEDG;m3
MVXJDTA;CUGEX1;m3
MVXJDTA;MGTYPE;m3
MVXJDTA;CUGEVM;m3
MVXJDTA;OOTYPE;m3
MVXJDTA;MGLINE;m3
MVXJDTA;CSYTAB;m3
MVXJDTA;ODLINE;m3
MVXJDTA;MAHEAD;m3
MVXJDTA;MCHEAD;m3
MVXJDTA;MILOMA;m3
MVXJDTA;CSYPAR;m3
MVXJDTA;MITLOC;m3
MVXJDTA;SSEITM;m3
MVXJDTA;OOLICH;m3
MVXJDTA;MITBIL;m3
MVXJDTA;FSLEDG;m3
MVXJDTA;MITPCE;m3
MVXJDTA;CIDMAS;m3
MVXJDTA;MPDMAT;m3
MVXJDTA;MITPLO;m3
MVXJDTA;MPDOPE;m3
MVXJDTA;MWOHED;m3
MVXJDTA;MWOMAT;m3
MVXJDTA;MWOOPE;m3
MVXJDTA;MITSTA;m3
MVXJDTA;OOSAEQ;m3
MVXJDTA;SINDIV;m3
MVXJDTA;USRWSN;m3
MVXJDTA;OSYTXL;m3
MVXJDTA;CSYCAL;m3
MVXJDTA;MPOPLP;m3
MVXJDTA;MPDWCT;m3
MVXJDTA;CRSMCD;m3
MVXJDTA;CIDVEN;m3
MVXJDTA;FPLEDG;m3
MVXJDTA;MITVEN;m3
MVXJDTA;MPCLAH;m3
MVXJDTA;MPCLAL;m3
MVXJDTA;MPURST;m3
MVXJDTA;FBAKEY;m3
MVXJDTA;FBAVAL;m3
MVXJDTA;DROUTE;m3
MVXJDTA;FSYTXL;m3
MVXJDTA;MPHEAD;m3
MVXJDTA;FGINLI;m3
MVXJDTA;FGINHE;m3
MVXJDTA;FGINAE;m3
MVXJDTA;MIDTLE;m3
MVXJDTA;MPORDT;m3
MVXJDTA;MPDHED;m3
